#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
831,Que Robinson,DEN,LB,LOLB,17,,51.0,4.1,1.7,2.4,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,5.7
832,Jaylon Jones,CHI,DB,CB,17,,51.0,3.4,1.8,1.6,0.2,0.0,0.6,0.1,0.0,0.0,0.0,0.0,1,5.6
833,Nick McCloud,CHI,DB,RCB,17,,51.0,3.1,2.0,1.1,0.2,0.0,0.5,0.1,0.0,0.0,0.0,0.0,1,5.5
834,Ezekiel Turner,DET,LB,LOLB,13,,39.0,3.6,1.4,2.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0,5.2
835,Bralen Trice,ATL,LB,OLB,13,,39.0,3.1,1.5,1.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1,5.0
836,Kendall Williamson,LAC,DB,FS,17,,34.0,3.4,1.9,1.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1,5.0
837,Rayuan Lane III,JAC,DB,SS,17,,34.0,3.4,1.8,1.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1,5.0
838,Tyler Batty,MIN,LB,LOLB,13,,39.0,3.6,1.5,2.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,5.0
839,Josh Butler,DAL,DB,CB,17,O,29.0,2.8,1.4,1.3,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0,4.7
840,Cory Trice,PIT,DB,CB,13,,35.0,2.5,1.3,1.2,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.0,1,4.3
841,Kitan Crawford,ARI,DB,S,17,,33.0,2.6,1.7,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1,4.3
842,Kindle Vildor,TB,DB,CB,17,,34.0,2.7,1.4,1.3,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,1,4.3
843,Cam Smith,MIA,DB,CB,13,O,32.0,2.5,1.3,1.2,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0,4.0
844,Jalyn Armour-Davis,TEN,DB,CB,17,,34.0,2.7,1.4,1.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,3.9
845,Keyon Martin,BAL,DB,CB,17,,34.0,2.2,1.2,1.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,3.5
846,Trikweze Bridges,DAL,DB,CB,17,,29.0,2.2,1.2,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,3.4
847,Ja’Marcus Ingram,BUF,DB,CB,4,,21.0,1.7,0.9,0.8,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,1,3.3
848,Wyatt Milum,JAC,LB,OL,17,,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,4,3.3
849,Victor Dimukeje,NYG,LB,LOLB,6,O,18.0,1.8,0.7,1.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0,3.1
850,J.T. Gray,NO,DB,SS,17,Q,17.0,2.0,1.1,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,2.9
851,Joe Huber,MIN,LB,OL,17,,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.0,3,2.9
852,Ben Chukwuma,TB,LB,OL,17,,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,3,2.7
853,Brandon Crenshaw-Dickson,TEN,LB,OL,17,,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,3,2.3
854,Eric Rogers,LAC,DB,CB,13,,17.0,1.3,0.7,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,2.1
855,Marcus Bryant,NE,LB,OT,17,,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,2,1.9
856,Donte Kent,PIT,DB,CB,13,,13.0,1.1,0.6,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,1.7
857,Torricelli Simpkins III,NO,LB,OL,17,,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,2,1.5
858,Savion Washington,LAC,LB,OT,11,O,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,2,1.5
859,Dorian Strong,BUF,DB,CB,4,,8.0,0.5,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0.7
860,Esa Pole,NYJ,LB,OT,17,,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1,0.7
861,Josh Fryar,ARI,LB,OL,17,,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1,0.7
